"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"*00qs7*","F","Jamie Benn","DAL","F","Act","32","","32","7","11","18","3","25","85","4","0","44","20"
"*02oak*","F","Connor Brown","OTT","F","Act","27","OTT 4<br/>@WPG 2 F","38","9","9","18","-9","8","75","2","2","17","20"
"*03yt9*","F","Maxime Comtois","ANA","F","Act","22","ANA 3<br/>@MIN 4 F","38","10","12","22","2","20","57","3","0","69","26"
"*031pq*","F","Andrew Copp","WPG","F","Act","27","OTT 4<br/>@WPG 2 F","38","12","16","28","4","12","80","8","0","50","29"
"*004nk*","F","Logan Couture","SJS","F","Act","32","ARI 5<br/>@SJS 4 F","37","14","11","25","-5","19","86","6","0","39","26"
"*03eam*","F","Jayce Hawryluk","VAN","F","Act","25","VAN 3<br/>@EDM 4 F","12","1","1","2","-1","2","8","0","0","20","5"
"*038vb*","F","Travis Konecny","PHI","F","Act","24","PHI 1<br/>@WSH 2 F","30","7","16","23","4","16","54","7","0","39","10"
"*042vl*","F","Jordan Kyrou","STL","F","Act","23","STL 1<br/>@VGK 4 F","37","10","14","24","1","10","73","3","0","5","10"
"*004jg*","F","Pat Maroon","TBL","F","Act","33","TBL 1<br/>@FLA 5 F","38","4","11","15","4","46","31","4","0","50","3"
"*00qrt*","F","Max Pacioretty","VGK","F","Act","33","STL 1<br/>@VGK 4 F","34","18","15","33","10","10","135","6","0","24","20"
"*02b76*","F","Vincent Trocheck","CAR","F","Act","28","CAR 1<br/>@NSH 3 F","28","14","15","29","4","8","81","13","0","53","20"
"*005is*","F","Blake Wheeler","WPG","F","Act","35","OTT 4<br/>@WPG 2 F","38","10","21","31","-14","36","87","13","0","37","18"
"*01f3d*","D","Oliver Ekman-Larsson","ARI","D","Act","30","ARI 5<br/>@SJS 4 F","28","2","15","17","-12","14","52","10","0","43","15"
"*01zr5*","D","Derek Forbort","WPG","D","Act","29","OTT 4<br/>@WPG 2 F","38","1","6","7","1","35","45","0","0","55","87"
"*03yg4*","D","Samuel Girard","COL","D","Act","23","COL 3<br/>@LAK 2 F","35","5","23","28","15","12","60","9","0","22","32"
"*01s5k*","D","Jake Muzzin","TOR","D","Act","32","MTL 2<br/>@TOR 3 F","36","2","14","16","13","25","67","1","1","64","61"
"*02azh*","D","Jamie Oleksiak","DAL","D","Act","28","","36","3","5","8","2","27","46","0","0","90","48"
